V1_0 (ЦС) = 1.2124
V2_0 (ЦС) = 12.1244

  θ(°)     V1x_ЦС     V1y_ЦС     V2x_ЦС     V2y_ЦС      V1_ЛС      θ1(°)      V2_ЛС      θ2(°)
-----------------------------------------------------------------------------------------------
     0     1.2124     0.0000   -12.1244     0.0000     8.2124     0.0000     5.1244   180.0000
     1     1.2123     0.0212   -12.1225    -0.2116     8.2123     0.1476     5.1269  -177.6346
     2     1.2117     0.0423   -12.1170    -0.4231     8.2118     0.2952     5.1344  -175.2728
     3     1.2108     0.0635   -12.1077    -0.6345     8.2110     0.4428     5.1470  -172.9184
     4     1.2095     0.0846   -12.0948    -0.8458     8.2099     0.5902     5.1645  -170.5747
     5     1.2078     0.1057   -12.0782    -1.0567     8.2085     0.7376     5.1870  -168.2453
     6     1.2058     0.1267   -12.0579    -1.2673     8.2068     0.8848     5.2143  -165.9333
     7     1.2034     0.1478   -12.0340    -1.4776     8.2047     1.0319     5.2464  -163.6418
     8     1.2006     0.1687   -12.0064    -1.6874     8.2024     1.1788     5.2831  -161.3737
     9     1.1975     0.1897   -11.9751    -1.8967     8.1997     1.3254     5.3244  -159.1315
    10     1.1940     0.2105   -11.9402    -2.1054     8.1967     1.4718     5.3701  -156.9175
    11     1.1902     0.2313   -11.9016    -2.3134     8.1934     1.6180     5.4201  -154.7338
    12     1.1859     0.2521   -11.8594    -2.5208     8.1898     1.7638     5.4743  -152.5822
    13     1.1814     0.2727   -11.8136    -2.7274     8.1859     1.9093     5.5326  -150.4641
    14     1.1764     0.2933   -11.7642    -2.9331     8.1817     2.0545     5.5947  -148.3809
    15     1.1711     0.3138   -11.7112    -3.1380     8.1771     2.1993     5.6606  -146.3336
    16     1.1655     0.3342   -11.6547    -3.3419     8.1723     2.3437     5.7301  -144.3227
    17     1.1595     0.3545   -11.5946    -3.5448     8.1672     2.4876     5.8031  -142.3490
    18     1.1531     0.3747   -11.5309    -3.7466     8.1617     2.6311     5.8793  -140.4127
    19     1.1464     0.3947   -11.4638    -3.9473     8.1559     2.7741     5.9588  -138.5139
    20     1.1393     0.4147   -11.3932    -4.1468     8.1499     2.9166     6.0412  -136.6526
    21     1.1319     0.4345   -11.3191    -4.3450     8.1435     3.0585     6.1264  -134.8286
    22     1.1242     0.4542   -11.2415    -4.5419     8.1368     3.1998     6.2144  -133.0415
    23     1.1161     0.4737   -11.1605    -4.7374     8.1299     3.3406     6.3050  -131.2908
    24     1.1076     0.4931   -11.0762    -4.9314     8.1226     3.4807     6.3980  -129.5760
    25     1.0988     0.5124   -10.9884    -5.1240     8.1150     3.6202     6.4933  -127.8965
    26     1.0897     0.5315   -10.8973    -5.3150     8.1072     3.7589     6.5907  -126.2514
    27     1.0803     0.5504   -10.8029    -5.5043     8.0990     3.8970     6.6903  -124.6401
    28     1.0705     0.5692   -10.7052    -5.6920     8.0906     4.0343     6.7917  -123.0617
    29     1.0604     0.5878   -10.6042    -5.8780     8.0818     4.1709     6.8950  -121.5153
    30     1.0500     0.6062   -10.5000    -6.0622     8.0728     4.3066     7.0000  -120.0000
    31     1.0393     0.6245   -10.3926    -6.2445     8.0635     4.4415     7.1066  -118.5150
    32     1.0282     0.6425   -10.2820    -6.4249     8.0539     4.5756     7.2147  -117.0592
    33     1.0168     0.6603   -10.1683    -6.6034     8.0440     4.7088     7.3242  -115.6319
    34     1.0052     0.6780   -10.0515    -6.7799     8.0338     4.8410     7.4349  -114.2320
    35     0.9932     0.6954    -9.9317    -6.9542     8.0234     4.9723     7.5469  -112.8588
    36     0.9809     0.7127    -9.8088    -7.1265     8.0126     5.1027     7.6601  -111.5111
    37     0.9683     0.7297    -9.6829    -7.2966     8.0016     5.2320     7.7742  -110.1883
    38     0.9554     0.7464    -9.5541    -7.4645     7.9904     5.3603     7.8894  -108.8894
    39     0.9422     0.7630    -9.4224    -7.6301     7.9788     5.4876     8.0054  -107.6135
    40     0.9288     0.7793    -9.2878    -7.7934     7.9670     5.6137     8.1222  -106.3599
    41     0.9150     0.7954    -9.1504    -7.9543     7.9549     5.7387     8.2398  -105.1278
    42     0.9010     0.8113    -9.0102    -8.1128     7.9426     5.8626     8.3581  -103.9163
    43     0.8867     0.8269    -8.8672    -8.2688     7.9299     5.9853     8.4770  -102.7247
    44     0.8722     0.8422    -8.7215    -8.4223     7.9171     6.1068     8.5964  -101.5522
    45     0.8573     0.8573    -8.5732    -8.5732     7.9040     6.2270     8.7164  -100.3983
    46     0.8422     0.8722    -8.4223    -8.7215     7.8906     6.3459     8.8367   -99.2621
    47     0.8269     0.8867    -8.2688    -8.8672     7.8769     6.4636     8.9575   -98.1431
    48     0.8113     0.9010    -8.1128    -9.0102     7.8631     6.5799     9.0786   -97.0405
    49     0.7954     0.9150    -7.9543    -9.1504     7.8489     6.6948     9.2000   -95.9539
    50     0.7793     0.9288    -7.7934    -9.2878     7.8346     6.8083     9.3216   -94.8825
    51     0.7630     0.9422    -7.6301    -9.4224     7.8200     6.9205     9.4434   -93.8258
    52     0.7464     0.9554    -7.4645    -9.5541     7.8051     7.0311     9.5654   -92.7834
    53     0.7297     0.9683    -7.2966    -9.6829     7.7901     7.1402     9.6875   -91.7546
    54     0.7127     0.9809    -7.1265    -9.8088     7.7748     7.2479     9.8096   -90.7390
    55     0.6954     0.9932    -6.9542    -9.9317     7.7592     7.3539     9.9318   -89.7360
    56     0.6780     1.0052    -6.7799   -10.0515     7.7435     7.4584    10.0540   -88.7453
    57     0.6603     1.0168    -6.6034   -10.1683     7.7275     7.5612    10.1761   -87.7664
    58     0.6425     1.0282    -6.4249   -10.2820     7.7113     7.6624    10.2981   -86.7988
    59     0.6245     1.0393    -6.2445   -10.3926     7.6950     7.7619    10.4200   -85.8422
    60     0.6062     1.0500    -6.0622   -10.5000     7.6783     7.8597    10.5418   -84.8961
    61     0.5878     1.0604    -5.8780   -10.6042     7.6615     7.9557    10.6634   -83.9602
    62     0.5692     1.0705    -5.6920   -10.7052     7.6445     8.0500    10.7848   -83.0341
    63     0.5504     1.0803    -5.5043   -10.8029     7.6273     8.1424    10.9059   -82.1175
    64     0.5315     1.0897    -5.3150   -10.8973     7.6099     8.2330    11.0268   -81.2101
    65     0.5124     1.0988    -5.1240   -10.9884     7.5923     8.3217    11.1474   -80.3114
    66     0.4931     1.1076    -4.9314   -11.0762     7.5746     8.4084    11.2677   -79.4213
    67     0.4737     1.1161    -4.7374   -11.1605     7.5566     8.4932    11.3876   -78.5394
    68     0.4542     1.1242    -4.5419   -11.2415     7.5385     8.5760    11.5071   -77.6655
    69     0.4345     1.1319    -4.3450   -11.3191     7.5202     8.6568    11.6263   -76.7992
    70     0.4147     1.1393    -4.1468   -11.3932     7.5017     8.7356    11.7450   -75.9404
    71     0.3947     1.1464    -3.9473   -11.4638     7.4831     8.8122    11.8633   -75.0887
    72     0.3747     1.1531    -3.7466   -11.5309     7.4643     8.8868    11.9811   -74.2440
    73     0.3545     1.1595    -3.5448   -11.5946     7.4453     8.9591    12.0985   -73.4060
    74     0.3342     1.1655    -3.3419   -11.6547     7.4262     9.0293    12.2153   -72.5744
    75     0.3138     1.1711    -3.1380   -11.7112     7.4070     9.0973    12.3316   -71.7491
    76     0.2933     1.1764    -2.9331   -11.7642     7.3876     9.1630    12.4473   -70.9299
    77     0.2727     1.1814    -2.7274   -11.8136     7.3681     9.2264    12.5625   -70.1165
    78     0.2521     1.1859    -2.5208   -11.8594     7.3484     9.2874    12.6771   -69.3088
    79     0.2313     1.1902    -2.3134   -11.9016     7.3286     9.3462    12.7911   -68.5067
